Distributor Segmentation,,,,,,,Customer Segmentation,,,,,,,Rep Performance & Incentive Compensation,,,,,,,,,Year-over-Year Growth by Market,,,,,
Distributor,Total Sales,Rank,Cumulative %,Segment,,,Customer Name,Country,Channel,Total Sales,Rank,Segment,,Rep,Manager,Team,Total Sales,Segment,Target,Attainment %,Payout Tier,,Country,2018,2019,2020,2019 Growth %,2020 Growth %
,,,,,,,Fahey-Flatley Pharmaceutical Ltd,Germany,Hospital,21702505,60,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Marquardt PLC Pharmaceutical Ltd,Germany,Hospital,13589800,182,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Casper, Hyatt and Jakubowski Pharmacy",Germany,Hospital,16258870,141,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Grimes, Jacobs and Durgan Pharma Plc",Germany,Hospital,18473363,95,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,"Towne, Cummerata and Blanda Pharmaceutical Ltd",Germany,Hospital,20408392,74,Standard Account,,,,,,,,,,,,,,,,
,,,,,,,Lockman-Welch,Germany,Hospital,15920169,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Runolfsson-Powlowski Pharmacy,Germany,Hospital,30369421,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge Inc Pharmaceutical Limited,Germany,Hospital,19855032,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crist Inc Pharmaceutical Ltd,Germany,Hospital,13297454,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Rosenbaum, Klein and Herzog Pharma Plc",Germany,Hospital,15130196,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wuckert, Kreiger and Howell Pharma Plc",Germany,Hospital,25290286,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lockman Ltd Pharma Plc,Germany,Hospital,17461646,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Durgan-Rice Pharmaceutical Ltd,Germany,Hospital,19881662,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Legros-Runte Pharmaceutical Ltd,Germany,Hospital,14770636,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Osinski-Collins Pharma Plc,Germany,Hospital,16098974,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Block, Thiel and Kuphal Pharmaceutical Limited",Germany,Hospital,17154476,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kreiger Inc Pharm,Germany,Hospital,20444291,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Ondricka, Rosenbaum and Beahan Pharm",Germany,Hospital,17649861,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Johns, Mueller and Nitzsche",Germany,Hospital,24712891,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leannon-West Pharmaceutical Limited,Germany,Hospital,25826483,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Skiles-McKenzie Pharmacy,Germany,Hospital,18389344,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Moen, Murazik and Smith Pharmaceutical Ltd",Germany,Hospital,17536138,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Botsford PLC,Germany,Hospital,24768128,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Friesen Group Pharm,Germany,Hospital,24254576,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Heidenreich Group Pharm,Germany,Hospital,14083984,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Gerhold, Mills and Effertz",Germany,Hospital,10508296,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Spencer-Jerde Pharmaceutical Limited,Germany,Hospital,19269849,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kozey-Emmerich,Germany,Hospital,20673989,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kuphal, D'Amore and Bode Pharmacy",Germany,Hospital,15316826,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Botsford and Sons Pharma Plc,Germany,Hospital,16780942,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kuphal, Herzog and Purdy",Germany,Hospital,40796789,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Reinger, Kihn and Goyette Pharmaceutical Limited",Germany,Hospital,22515286,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Homenick-Larson Pharmaceutical Ltd,Germany,Hospital,17315988,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Marquardt-Ryan Pharm,Germany,Hospital,12679857,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Roob, Ernser and Kub Pharmaceutical Ltd",Germany,Hospital,10990529,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Konopelski-Blick Pharmaceutical Limited,Germany,Hospital,14748118,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge Inc Pharm,Germany,Hospital,18752650,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Effertz, Heaney and Tillman Pharma Plc",Germany,Hospital,17984317,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Buckridge-Strosin Pharmaceutical Ltd,Germany,Hospital,33261230,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fritsch-Hauck Pharm,Germany,Hospital,13243526,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hill-Daniel Pharmaceutical Ltd,Germany,Hospital,27600353,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Cormier, Dietrich and Zulauf Pharmaceutical Limited",Germany,Hospital,19559458,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Hirthe, Williamson and Macejkovic Pharmacy",Germany,Hospital,19467179,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Haag, Bradtke and Terry Pharm",Germany,Hospital,11107603,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Zemlak-Witting Pharmaceutical Limited,Germany,Hospital,11948953,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bosco-Marquardt Pharmaceutical Limited,Germany,Hospital,25433148,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Will, McGlynn and Fritsch Pharmaceutical Limited",Germany,Hospital,15624628,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Leuschke, Waters and Schowalter Pharmacy",Germany,Hospital,23867707,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Cummings LLC,Germany,Hospital,15615225,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Abernathy Group,Germany,Hospital,24876667,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kris LLC Pharmaceutical Limited,Germany,Hospital,13490977,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kohler-Bednar Pharm,Germany,Hospital,26531140,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Fritsch, Hodkiewicz and Sipes Pharma Plc",Germany,Hospital,23370239,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Jast-Cruickshank Pharmacy,Germany,Hospital,12331196,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Dach Ltd Pharma Plc,Germany,Hospital,20993338,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kihn Group Pharm,Germany,Hospital,11299828,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Koch, Borer and Hagenes Pharmaceutical Ltd",Germany,Hospital,17054360,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Schinner, Gaylord and Treutel Pharmaceutical Limited",Germany,Hospital,11028227,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bayer LLC,Germany,Hospital,34834444,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Botsford and Sons,Germany,Hospital,20852469,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Reichel Inc Pharm,Germany,Hospital,15055189,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Medhurst-Beer,Germany,Hospital,19090504,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Reilly Ltd Pharma Plc,Germany,Hospital,21219227,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Koelpin, Luettgen and Abernathy Pharmacy",Germany,Hospital,18731547,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Welch-Langworth Pharm,Germany,Hospital,13016333,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lemke Ltd Pharmaceutical Limited,Germany,Hospital,15071628,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hane Ltd Pharmaceutical Ltd,Germany,Hospital,18353020,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kozey-Emmerich Pharmacy,Germany,Hospital,24471675,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Gleichner, Bahringer and Morar Pharmacy",Germany,Hospital,15652843,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Zemlak Group Pharm,Germany,Hospital,30580526,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Walsh-Brown Pharmaceutical Ltd,Germany,Hospital,21140466,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Waelchi LLC Pharmaceutical Limited,Germany,Hospital,18456036,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Brakus, Rempel and Harber Pharmacy",Germany,Hospital,18095126,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bartoletti-Altenwerth Pharm,Germany,Hospital,13173562,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kling Inc,Germany,Hospital,15751199,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Block-Romaguera Pharmacy,Germany,Hospital,15793125,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mante-Grady Pharma Plc,Germany,Hospital,18523791,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Brakus, Rempel and Harber Pharm",Germany,Hospital,13020611,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Reilly Ltd Pharmacy,Germany,Hospital,34834844,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kub, Von and Herzog Pharmaceutical Limited",Germany,Hospital,19622265,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ward Group Pharm,Germany,Hospital,13188028,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Dach PLC,Germany,Hospital,18546157,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ondricka-Waters Pharmaceutical Limited,Germany,Hospital,11726828,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Spinka, Schowalter and Conn Pharma Plc",Germany,Hospital,28704816,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Prohaska, Bogisich and Gutkowski Pharmaceutical Limited",Germany,Hospital,37037760,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Herman-Koss Pharmaceutical Limited,Germany,Hospital,20436900,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Harris, Daugherty and Okuneva Pharm",Germany,Hospital,27261177,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Prohaska-Kuhic Pharma Plc,Germany,Hospital,17250473,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Blick, Pacocha and Schowalter Pharmacy",Germany,Hospital,12145917,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Balistreri Group Pharm,Germany,Hospital,18120449,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Beer, Kohler and Beatty",Germany,Hospital,27426626,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leuschke PLC Pharm,Germany,Hospital,12135998,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Pfannerstill, Upton and Balistreri Pharmacy",Germany,Hospital,17983292,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Rodriguez, Stokes and Dickens",Germany,Hospital,20541665,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Marquardt PLC,Germany,Hospital,18752095,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fahey-Prosacco Pharmacy,Germany,Hospital,18990780,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Paucek, Keeling and Bruen Pharma Plc",Germany,Hospital,18632011,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hane Ltd,Germany,Hospital,21229550,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crist Ltd Pharma Plc,Germany,Hospital,14899138,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Parker, Green and Emmerich Pharmacy",Germany,Hospital,29336133,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,D'Amore and Sons Pharmacy,Germany,Hospital,14282238,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Tillman Group Pharma Plc,Germany,Hospital,22217841,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kertzmann, Quitzon and Harris",Germany,Hospital,20021173,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Bayer LLC Pharm,Germany,Hospital,12960048,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Senger-Kirlin Pharma Plc,Germany,Hospital,18104944,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Quigley-Heathcote Pharmaceutical Ltd,Germany,Hospital,28708135,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Moen, Murazik and Smith Pharm",Germany,Hospital,50885320,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hansen Group Pharmacy,Germany,Hospital,17569970,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schaefer Group Pharmaceutical Ltd,Germany,Hospital,14974616,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Effertz, Heaney and Tillman Pharm",Germany,Hospital,16753635,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Lindgren-Simonis Pharmacy,Germany,Hospital,15471141,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hill Ltd Pharma Plc,Germany,Hospital,13628308,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Parisian, Hagenes and Skiles Pharmacy",Germany,Hospital,13925511,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Armstrong Inc Pharm,Germany,Hospital,24643385,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Romaguera-Fay Pharmaceutical Ltd,Germany,Hospital,21247656,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Skiles-McKenzie Pharmaceutical Limited,Germany,Hospital,26418367,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Graham and Sons Pharm,Germany,Hospital,21646430,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Rosenbaum, Klein and Herzog Pharmaceutical Ltd",Germany,Hospital,14918650,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Terry-Kub Pharmaceutical Ltd,Germany,Pharmacy,18492869,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Turner Ltd Pharmacy,Germany,Pharmacy,22473558,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Greenholt, Donnelly and O'Reilly Pharmaceutical Ltd",Germany,Pharmacy,17688642,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Erdman, Senger and Oberbrunner Pharmacy",Germany,Pharmacy,22043224,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Erdman PLC,Germany,Pharmacy,18568129,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Friesen Group,Germany,Pharmacy,17341092,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Roob, Ernser and Kub Pharmacy",Germany,Pharmacy,17692456,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hermiston LLC Pharmaceutical Limited,Germany,Pharmacy,18657694,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,McCullough LLC Pharmaceutical Limited,Germany,Pharmacy,13922199,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Will, McGlynn and Fritsch Pharmaceutical Ltd",Germany,Pharmacy,14912794,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koss Ltd Pharma Plc,Germany,Pharmacy,18642972,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Funk, Ratke and Heaney",Germany,Pharmacy,29152180,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Walsh-Brown Pharma Plc,Germany,Pharmacy,15306204,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Torphy, Pfeffer and Jakubowski Pharm",Germany,Pharmacy,41514215,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Waelchi LLC Pharm,Germany,Pharmacy,14555977,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Gottlieb-Cruickshank Pharm,Germany,Pharmacy,16287002,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Daniel, Baumbach and Nitzsche Pharmacy",Germany,Pharmacy,13915633,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mills Inc Pharmacy,Germany,Pharmacy,24461745,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Armstrong Inc Pharma Plc,Germany,Pharmacy,12315560,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Zieme, Doyle and Kunze Pharm",Germany,Pharmacy,25305007,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Sauer-Herzog Pharmaceutical Limited,Germany,Pharmacy,23371565,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Stehr-Champlin Pharmacy,Germany,Pharmacy,37465602,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Schinner, Gaylord and Treutel Pharmacy",Germany,Pharmacy,12306464,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fritsch-Hauck Pharmaceutical Ltd,Germany,Pharmacy,20050325,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mraz-Kutch Pharma Plc,Germany,Pharmacy,93561780,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Paucek PLC,Germany,Pharmacy,16824928,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crist LLC Pharma Plc,Germany,Pharmacy,17935445,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Reinger, Kihn and Goyette Pharma Plc",Germany,Pharmacy,19778627,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Parker, Green and Emmerich Pharma Plc",Germany,Pharmacy,64890501,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ritchie-Rodriguez Pharmacy,Germany,Pharmacy,17239990,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Beier PLC,Germany,Pharmacy,13148370,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Raynor LLC Pharmaceutical Limited,Germany,Pharmacy,26220594,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ward Group Pharma Plc,Germany,Pharmacy,20697185,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kuphal, Herzog and Purdy Pharmaceutical Limited",Germany,Pharmacy,24833458,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Wolff Group,Germany,Pharmacy,14111671,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ondricka Ltd,Germany,Pharmacy,16207564,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Koss-Beier Pharmaceutical Limited,Germany,Pharmacy,12833771,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kilback, Beer and Batz",Germany,Pharmacy,23566905,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Kshlerin, Ryan and Leuschke",Germany,Pharmacy,16996416,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Yundt, Leuschke and Ward",Germany,Pharmacy,16091963,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Watsica-Kovacek Pharmaceutical Ltd,Germany,Pharmacy,21523843,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Breitenberg-Kuhn,Germany,Pharmacy,14175297,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Ondricka Ltd Pharmaceutical Ltd,Germany,Pharmacy,12670917,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Kihn Group,Germany,Pharmacy,26209384,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Durgan-Rice Pharmacy,Germany,Pharmacy,18052321,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leuschke PLC Pharmaceutical Ltd,Germany,Pharmacy,17277381,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Predovic LLC Pharmaceutical Limited,Germany,Pharmacy,35118268,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Watsica-Kovacek Pharmacy,Germany,Pharmacy,21508807,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Sanford, Franecki and Greenholt Pharmaceutical Ltd",Germany,Pharmacy,20610430,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Schmitt LLC Pharma Plc,Germany,Pharmacy,18286334,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Balistreri-Watsica Pharma Plc,Germany,Pharmacy,18531755,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Veum and Sons Pharmaceutical Ltd,Germany,Pharmacy,26177593,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Carter-Conn Pharm,Germany,Pharmacy,17098169,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Blanda, Stehr and Gleason Pharmaceutical Ltd",Germany,Pharmacy,15502581,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Leffler-Russel Pharmaceutical Limited,Germany,Pharmacy,25721319,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Corkery-Kovacek Pharma Plc,Germany,Pharmacy,22438560,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Gulgowski-Vandervort Pharma Plc,Germany,Pharmacy,26263639,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Casper, Hyatt and Jakubowski Pharmaceutical Ltd",Germany,Pharmacy,24533946,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Trantow LLC Pharm,Germany,Pharmacy,14220908,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Heidenreich Group Pharmacy,Germany,Pharmacy,30216194,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Dach PLC Pharm,Germany,Pharmacy,26222321,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Marquardt-Ryan Pharma Plc,Germany,Pharmacy,33961522,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Paucek PLC Pharm,Germany,Pharmacy,15993869,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Steuber, Skiles and Kilback Pharmacy",Germany,Pharmacy,21145446,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Herman, Rice and Rippin Pharm",Germany,Pharmacy,20974624,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest PLC Pharmaceutical Limited,Germany,Pharmacy,22126737,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Mayert-Weber Pharmaceutical Ltd,Germany,Pharmacy,23393254,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Sanford, Franecki and Greenholt Pharma Plc",Germany,Hospital,19908055,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Reichel Inc,Germany,Hospital,43495626,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Crona Group,Germany,Hospital,15164237,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Roob Pharmacy,Germany,Hospital,12432676,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Denesik-Hintz Pharmaceutical Limited,Germany,Hospital,14276666,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Yundt-Crona Pharm,Germany,Hospital,22630547,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Beahan, Littel and Ondricka Pharma Plc",Germany,Hospital,17506161,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Reynolds, Jast and Mante Pharm",Germany,Hospital,20640886,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Funk, Ratke and Heaney Pharma Plc",Germany,Hospital,18351514,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Cartwright-Fay,Germany,Hospital,17323557,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Wisozk, Brekke and Bartoletti",Germany,Hospital,14805318,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fritsch LLC Pharm,Germany,Hospital,18245919,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Crist, Wisoky and Nolan Pharmaceutical Limited",Germany,Hospital,15833467,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Fritsch LLC Pharmaceutical Ltd,Germany,Hospital,24462902,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Crist, Wisoky and Nolan Pharm",Germany,Hospital,22827209,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Welch-Orn Pharmacy,Germany,Hospital,13905998,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Upton PLC Pharma Plc,Germany,Hospital,15306351,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Kshlerin Pharma Plc,Germany,Hospital,10446536,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Bogan, Jacobs and Kris Pharmaceutical Ltd",Germany,Hospital,31085593,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Feest-Kshlerin,Germany,Hospital,13525280,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Rodriguez, Stokes and Dickens Pharma Plc",Germany,Hospital,23460867,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Upton, Abernathy and Goodwin Pharmaceutical Limited",Germany,Hospital,12302834,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Romaguera, Moen and Hagenes Pharmacy",Germany,Hospital,42066660,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,"Bernier, Murphy and Rau Pharmaceutical Limited",Germany,Hospital,25860721,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Hill-Daniel,Germany,Hospital,20537571,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Funk and Sons Pharmacy,Germany,Pharmacy,27629334,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Collins-Schmidt Pharma Plc,Germany,Pharmacy,13474719,#N/A,#N/A,,,,,,,,,,,,,,,,
,,,,,,,Vandervort LLC Pharm,Germany,Pharmacy,14647896,#N/A,#N/A,,,,,,,,,,,,,,,,
